"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UniqueHosts","TotalPorts","PortsPerMinute","AvgPortsPerBatch","BatchIntervalP95","UiCloneP95","StreamDispatchP95","DiffDurationP95"
"C:\Users\Werem\AppData\Local\Temp\5756b87b-5a30-425a-ac3d-3dc480e20527\PortBatchReady-existing.json","1/1/2026 11:34:53 PM","C:\Users\Werem\AppData\Local\Temp\5756b87b-5a30-425a-ac3d-3dc480e20527\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\5756b87b-5a30-425a-ac3d-3dc480e20527\PortBatchReady.json","1/1/2026 11:34:53 PM","C:\Users\Werem\AppData\Local\Temp\5756b87b-5a30-425a-ac3d-3dc480e20527\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-163454.json","1/1/2026 11:34:54 PM","C:\Users\Werem\AppData\Local\Temp\5756b87b-5a30-425a-ac3d-3dc480e20527\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\50f92d94-c1a7-4ced-9ce9-740987529bf2\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-163533.json","1/1/2026 11:35:33 PM","C:\Users\Werem\AppData\Local\Temp\50f92d94-c1a7-4ced-9ce9-740987529bf2\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\50f92d94-c1a7-4ced-9ce9-740987529bf2\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-163533.json","1/1/2026 11:35:33 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\398cda41-b82a-4214-aca5-0434fedf33c5\PortBatchReady.json","1/1/2026 12:25:35 AM","C:\Users\Werem\AppData\Local\Temp\398cda41-b82a-4214-aca5-0434fedf33c5\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\398cda41-b82a-4214-aca5-0434fedf33c5\PortBatchReady-existing.json","1/1/2026 12:25:36 AM","C:\Users\Werem\AppData\Local\Temp\398cda41-b82a-4214-aca5-0434fedf33c5\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251231-172536.json","1/1/2026 12:25:36 AM","C:\Users\Werem\AppData\Local\Temp\398cda41-b82a-4214-aca5-0434fedf33c5\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\50c0b879-7fb6-4ada-9959-0a407d15c4f4\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251231-172629.json","1/1/2026 12:26:29 AM","C:\Users\Werem\AppData\Local\Temp\50c0b879-7fb6-4ada-9959-0a407d15c4f4\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\50c0b879-7fb6-4ada-9959-0a407d15c4f4\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251231-172629.json","1/1/2026 12:26:30 AM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\5695396c-eca5-4f09-a482-105ec8df5608\PortBatchReady.json","1/1/2026 12:59:15 AM","C:\Users\Werem\AppData\Local\Temp\5695396c-eca5-4f09-a482-105ec8df5608\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\5695396c-eca5-4f09-a482-105ec8df5608\PortBatchReady-existing.json","1/1/2026 12:59:16 AM","C:\Users\Werem\AppData\Local\Temp\5695396c-eca5-4f09-a482-105ec8df5608\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251231-175917.json","1/1/2026 12:59:17 AM","C:\Users\Werem\AppData\Local\Temp\5695396c-eca5-4f09-a482-105ec8df5608\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\adfb61e5-fc1d-4541-a7cd-18fdceec243c\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251231-175959.json","1/1/2026 12:59:59 AM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\adfb61e5-fc1d-4541-a7cd-18fdceec243c\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251231-175959.json","1/1/2026 12:59:59 AM","C:\Users\Werem\AppData\Local\Temp\adfb61e5-fc1d-4541-a7cd-18fdceec243c\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\14b6d119-b34c-4ac8-bb94-918e9be72609\PortBatchReady.json","1/1/2026 2:38:50 PM","C:\Users\Werem\AppData\Local\Temp\14b6d119-b34c-4ac8-bb94-918e9be72609\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\14b6d119-b34c-4ac8-bb94-918e9be72609\PortBatchReady-existing.json","1/1/2026 2:38:51 PM","C:\Users\Werem\AppData\Local\Temp\14b6d119-b34c-4ac8-bb94-918e9be72609\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-073851.json","1/1/2026 2:38:51 PM","C:\Users\Werem\AppData\Local\Temp\14b6d119-b34c-4ac8-bb94-918e9be72609\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\71409f0e-50aa-4e2c-9166-6b859f08c424\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-073920.json","1/1/2026 2:39:20 PM","C:\Users\Werem\AppData\Local\Temp\71409f0e-50aa-4e2c-9166-6b859f08c424\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\71409f0e-50aa-4e2c-9166-6b859f08c424\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-073920.json","1/1/2026 2:39:20 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\4789e7a8-cf35-4b52-8e19-a12e747e2b53\PortBatchReady-existing.json","1/1/2026 3:02:10 PM","C:\Users\Werem\AppData\Local\Temp\4789e7a8-cf35-4b52-8e19-a12e747e2b53\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\4789e7a8-cf35-4b52-8e19-a12e747e2b53\PortBatchReady.json","1/1/2026 3:02:10 PM","C:\Users\Werem\AppData\Local\Temp\4789e7a8-cf35-4b52-8e19-a12e747e2b53\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-080210.json","1/1/2026 3:02:11 PM","C:\Users\Werem\AppData\Local\Temp\4789e7a8-cf35-4b52-8e19-a12e747e2b53\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\4f50d117-30bf-4554-80e5-8e9812607955\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-080236.json","1/1/2026 3:02:36 PM","C:\Users\Werem\AppData\Local\Temp\4f50d117-30bf-4554-80e5-8e9812607955\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\4f50d117-30bf-4554-80e5-8e9812607955\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-080236.json","1/1/2026 3:02:36 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\47538e9d-37b3-4464-b2eb-ffe9567a1944\PortBatchReady.json","1/1/2026 5:11:51 AM","C:\Users\Werem\AppData\Local\Temp\47538e9d-37b3-4464-b2eb-ffe9567a1944\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\47538e9d-37b3-4464-b2eb-ffe9567a1944\PortBatchReady-existing.json","1/1/2026 5:11:52 AM","C:\Users\Werem\AppData\Local\Temp\47538e9d-37b3-4464-b2eb-ffe9567a1944\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251231-221152.json","1/1/2026 5:11:53 AM","C:\Users\Werem\AppData\Local\Temp\47538e9d-37b3-4464-b2eb-ffe9567a1944\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\737a8b6c-c7e1-4943-84d3-c19d11014a5b\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251231-221238.json","1/1/2026 5:12:38 AM","C:\Users\Werem\AppData\Local\Temp\737a8b6c-c7e1-4943-84d3-c19d11014a5b\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\737a8b6c-c7e1-4943-84d3-c19d11014a5b\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251231-221238.json","1/1/2026 5:12:38 AM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\af1ec78c-f4f2-4e75-aa29-9c80097aee4a\PortBatchReady.json","1/1/2026 5:18:09 PM","C:\Users\Werem\AppData\Local\Temp\af1ec78c-f4f2-4e75-aa29-9c80097aee4a\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-101810.json","1/1/2026 5:18:10 PM","C:\Users\Werem\AppData\Local\Temp\af1ec78c-f4f2-4e75-aa29-9c80097aee4a\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\af1ec78c-f4f2-4e75-aa29-9c80097aee4a\PortBatchReady-existing.json","1/1/2026 5:18:10 PM","C:\Users\Werem\AppData\Local\Temp\af1ec78c-f4f2-4e75-aa29-9c80097aee4a\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\63533789-5be6-4c5b-b8d6-16c1967d67bc\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-101842.json","1/1/2026 5:18:43 PM","C:\Users\Werem\AppData\Local\Temp\63533789-5be6-4c5b-b8d6-16c1967d67bc\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\63533789-5be6-4c5b-b8d6-16c1967d67bc\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-101843.json","1/1/2026 5:18:43 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\1ed143d6-3cf0-40fa-a573-7d9b86fd06ea\PortBatchReady.json","1/1/2026 7:12:59 PM","C:\Users\Werem\AppData\Local\Temp\1ed143d6-3cf0-40fa-a573-7d9b86fd06ea\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\1ed143d6-3cf0-40fa-a573-7d9b86fd06ea\PortBatchReady-existing.json","1/1/2026 7:12:59 PM","C:\Users\Werem\AppData\Local\Temp\1ed143d6-3cf0-40fa-a573-7d9b86fd06ea\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-121300.json","1/1/2026 7:13:00 PM","C:\Users\Werem\AppData\Local\Temp\1ed143d6-3cf0-40fa-a573-7d9b86fd06ea\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\2c2d6573-6808-41c9-abf1-ba1b71a0a3d0\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-121330.json","1/1/2026 7:13:30 PM","C:\Users\Werem\AppData\Local\Temp\2c2d6573-6808-41c9-abf1-ba1b71a0a3d0\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\2c2d6573-6808-41c9-abf1-ba1b71a0a3d0\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-121330.json","1/1/2026 7:13:30 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\f10d2d32-4b51-40fe-8454-0d550c904f79\PortBatchReady.json","1/1/2026 8:24:29 PM","C:\Users\Werem\AppData\Local\Temp\f10d2d32-4b51-40fe-8454-0d550c904f79\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-132430.json","1/1/2026 8:24:30 PM","C:\Users\Werem\AppData\Local\Temp\f10d2d32-4b51-40fe-8454-0d550c904f79\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\f10d2d32-4b51-40fe-8454-0d550c904f79\PortBatchReady-existing.json","1/1/2026 8:24:30 PM","C:\Users\Werem\AppData\Local\Temp\f10d2d32-4b51-40fe-8454-0d550c904f79\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\24075507-c7bb-4445-9c7c-83a39cf01b9a\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-132502.json","1/1/2026 8:25:02 PM","C:\Users\Werem\AppData\Local\Temp\24075507-c7bb-4445-9c7c-83a39cf01b9a\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\24075507-c7bb-4445-9c7c-83a39cf01b9a\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-132503.json","1/1/2026 8:25:03 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\PortBatchReady.json","1/1/2026 9:13:09 PM","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-141310.json","1/1/2026 9:13:10 PM","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\PortBatchReady-existing.json","1/1/2026 9:13:10 PM","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\aa54c046-2b9f-4558-8f31-fe44c84c6c2a\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-141337.json","1/1/2026 9:13:37 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\aa54c046-2b9f-4558-8f31-fe44c84c6c2a\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-141336.json","1/1/2026 9:13:37 PM","C:\Users\Werem\AppData\Local\Temp\aa54c046-2b9f-4558-8f31-fe44c84c6c2a\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\763b3663-3229-4625-983f-45c0339b0f01\PortBatchReady.json","1/1/2026 9:17:58 AM","C:\Users\Werem\AppData\Local\Temp\763b3663-3229-4625-983f-45c0339b0f01\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\763b3663-3229-4625-983f-45c0339b0f01\PortBatchReady-existing.json","1/1/2026 9:17:59 AM","C:\Users\Werem\AppData\Local\Temp\763b3663-3229-4625-983f-45c0339b0f01\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-021800.json","1/1/2026 9:18:00 AM","C:\Users\Werem\AppData\Local\Temp\763b3663-3229-4625-983f-45c0339b0f01\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\cdc5ae99-58ea-43d3-90c6-56d7a7f857ce\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-021829.json","1/1/2026 9:18:29 AM","C:\Users\Werem\AppData\Local\Temp\cdc5ae99-58ea-43d3-90c6-56d7a7f857ce\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\cdc5ae99-58ea-43d3-90c6-56d7a7f857ce\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-021829.json","1/1/2026 9:18:29 AM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\PortBatchReady-existing.json","1/1/2026 9:54:00 PM","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\PortBatchReady.json","1/1/2026 9:54:00 PM","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-145401.json","1/1/2026 9:54:01 PM","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\da70f4c0-48c3-4ce8-87e7-0f3705aa2736\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-145436.json","1/1/2026 9:54:36 PM","C:\Users\Werem\AppData\Local\Temp\da70f4c0-48c3-4ce8-87e7-0f3705aa2736\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\da70f4c0-48c3-4ce8-87e7-0f3705aa2736\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-145436.json","1/1/2026 9:54:36 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\467dc2af-b73f-4320-8be4-25f52fcf7faa\PortBatchReady.json","1/2/2026 4:38:45 PM","C:\Users\Werem\AppData\Local\Temp\467dc2af-b73f-4320-8be4-25f52fcf7faa\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\467dc2af-b73f-4320-8be4-25f52fcf7faa\PortBatchReady-existing.json","1/2/2026 4:38:45 PM","C:\Users\Werem\AppData\Local\Temp\467dc2af-b73f-4320-8be4-25f52fcf7faa\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260102-093846.json","1/2/2026 4:38:46 PM","C:\Users\Werem\AppData\Local\Temp\467dc2af-b73f-4320-8be4-25f52fcf7faa\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\e69ef0e1-7068-451f-94b2-a3fb011a0c5e\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260102-094023.json","1/2/2026 4:40:24 PM","C:\Users\Werem\AppData\Local\Temp\e69ef0e1-7068-451f-94b2-a3fb011a0c5e\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\e69ef0e1-7068-451f-94b2-a3fb011a0c5e\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260102-094025.json","1/2/2026 4:40:26 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\7d3e8d8d-8f30-465b-befa-397840f84b42\PortBatchReady.json","1/2/2026 5:18:11 PM","C:\Users\Werem\AppData\Local\Temp\7d3e8d8d-8f30-465b-befa-397840f84b42\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260102-101812.json","1/2/2026 5:18:12 PM","C:\Users\Werem\AppData\Local\Temp\7d3e8d8d-8f30-465b-befa-397840f84b42\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\7d3e8d8d-8f30-465b-befa-397840f84b42\PortBatchReady-existing.json","1/2/2026 5:18:12 PM","C:\Users\Werem\AppData\Local\Temp\7d3e8d8d-8f30-465b-befa-397840f84b42\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\ff891d7b-76eb-42bf-86e1-30d8e8c7f5b7\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260102-101848.json","1/2/2026 5:18:48 PM","C:\Users\Werem\AppData\Local\Temp\ff891d7b-76eb-42bf-86e1-30d8e8c7f5b7\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\ff891d7b-76eb-42bf-86e1-30d8e8c7f5b7\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260102-101849.json","1/2/2026 5:18:49 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\3ceb0bdb-4d59-4146-b865-0feda44e2f34\PortBatchReady.json","1/2/2026 5:46:01 PM","C:\Users\Werem\AppData\Local\Temp\3ceb0bdb-4d59-4146-b865-0feda44e2f34\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260102-104602.json","1/2/2026 5:46:02 PM","C:\Users\Werem\AppData\Local\Temp\3ceb0bdb-4d59-4146-b865-0feda44e2f34\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\3ceb0bdb-4d59-4146-b865-0feda44e2f34\PortBatchReady-existing.json","1/2/2026 5:46:02 PM","C:\Users\Werem\AppData\Local\Temp\3ceb0bdb-4d59-4146-b865-0feda44e2f34\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\75c9c97a-818f-4573-8da7-a02ac901620a\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260102-104712.json","1/2/2026 5:47:12 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\75c9c97a-818f-4573-8da7-a02ac901620a\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260102-104712.json","1/2/2026 5:47:12 PM","C:\Users\Werem\AppData\Local\Temp\75c9c97a-818f-4573-8da7-a02ac901620a\metrics.json","1","1","5","","5","","1","1","1"
