path,ext,size_bytes
StateTrace/.git/objects/24/511ff3dad40415556af9d39d5f49b9b69dd3e1,,10646
StateTrace/.git/objects/28/7afdffcf8f692fa6bfc22c8684e121d3279ba0,,2796
StateTrace/.git/objects/28/7c0544dec7968ddc99c5b2d6a3d68aea61bb56,,2901
StateTrace/.git/objects/2a/49f9c072ead1f38b9294240649c1e14fad6628,,195
StateTrace/.git/objects/2c/794e4b2bd494a938f07fea8145b8c36fb114bf,,183
StateTrace/.git/objects/2d/491160fa7e83bc8b0ca539ef2e702d5ac04bc8,,1382
StateTrace/.git/objects/2d/dc63e3cb65ed576cba12310ab863220c52e7d1,,245
StateTrace/.git/objects/2f/cd21bea9b2744fce1f8130f69782f60727f0c3,,278
StateTrace/.git/objects/30/93894b931fa35171bc4c395107fefe08ee90e4,,87
StateTrace/.git/objects/33/a037d490988f95f51fd48857478bd33dc940e2,,180
StateTrace/.git/objects/34/6f3d7e426359231727b5a407faa966bbbc2ed9,,175
StateTrace/.git/objects/35/ae383c315fd23b76b4746b9ba1b4ded223a9b9,,2134
StateTrace/.git/objects/37/0063ac91ae8b9c1dc12ebe47d19618aa1d08ca,,2851
StateTrace/.git/objects/39/eadb75cf78e544c01fe12fdb549f522eec07a8,,742
StateTrace/.git/objects/3b/2023775047051eab4400de6d09a59beba81794,,295
StateTrace/.git/objects/3c/f25491c4a477b10f9c647cbeb5e718e3f85d21,,192
StateTrace/.git/objects/3e/12a02ff27a4ce3d9764b07710e8542e1154301,,87
StateTrace/.git/objects/3e/bb9c36d55852c302c49d0b91ea4cf63cd70ec2,,806
StateTrace/.git/objects/42/4007d201c4f96a3f9578bc57f41dd060e786aa,,174
StateTrace/.git/objects/42/7498287611c5125b48d135f6fc167771c8e708,,2797
StateTrace/.git/objects/43/29d4afb7fa1cd68d5ccc0fc0814c60d94d2c4b,,378
StateTrace/.git/objects/46/d1a25f992fbe80b3b9ecd8b7e47a7ecbb46ac3,,277
StateTrace/.git/objects/47/9c010c2a62f1f573774cd76d26ed7c118d6e02,,1044
StateTrace/.git/objects/47/9e5535af3bc3399563a9189e804a182193f995,,232
StateTrace/.git/objects/48/174acabaaf285fc3da0d6444cda35bfb3028c5,,225
StateTrace/.git/objects/49/196645e48045991d64a4a63e41123233526b66,,641
StateTrace/.git/objects/4a/7f8e41b6e6c5e4af213d1426fa3cbd96e81ccb,,224
StateTrace/.git/objects/4c/a60f252347883be6b968e178132f743d3cf2d4,,1688
StateTrace/.git/objects/4d/7245dc2bb18be69c13d58d81d83910ce4b30cd,,8797
StateTrace/.git/objects/4d/76a85815125bc01924ecc40465c028acafa20b,,149992
StateTrace/.git/objects/4e/07e7e5b6fd5111698cc90e6d3ec37ccc6b1ce1,,5172
StateTrace/.git/objects/4f/666671022d9945c470657ff1af50621cf9be4c,,194
StateTrace/.git/objects/4f/d748633ab40c38d264cd2df9188119ff459550,,2803
StateTrace/.git/objects/50/228acc727a1500869dde1eba12ebfd0dfec534,,279
StateTrace/.git/objects/51/514877c6eba1d3b914e9f2c39b3a057e373c15,,4856
StateTrace/.git/objects/54/8974dac3aa0ac672c5056b0426fcbbc5c4183f,,5600
StateTrace/.git/objects/56/bb29a1eacb7d154c391b2f14663d0ae066a1ed,,212
StateTrace/.git/objects/56/f1e21040f4a60b46ea923e0f0a532d19ba78b5,,197
StateTrace/.git/objects/59/d3c1567b3290630983d769ab2771aead5fe3d9,,3733
StateTrace/.git/objects/5a/12cd80068c042437b34c0f9a22129b1d834c88,,205
StateTrace/.git/objects/5a/b98f727774d0754d69df6b8e2e99f7daf389c1,,5109
StateTrace/.git/objects/5b/3c44df4867255896c061cad4cb886adf377e8b,,2810
StateTrace/.git/objects/5d/31c735e90eb4848c3c1035ce393f63ab94739d,,851
StateTrace/.git/objects/61/aa0839549886444bbe8925f584b18bfe1f3cb2,,1136
StateTrace/.git/objects/63/8faa8a3d23f4cdff656d48884074c47dc02ac3,,204
StateTrace/.git/objects/63/ed9f6f57b999cc159ce96861d0e59d11d3da4e,,2804
StateTrace/.git/objects/65/07aed7fb47b4dfc8b1a3ba764e499223c226b8,,171
StateTrace/.git/objects/65/2ab315f5266bcda2c598ad08f5dfe5271e99f4,,808
StateTrace/.git/objects/66/98c966c88124d3512b052969621bc4b803a747,,196
StateTrace/.git/objects/69/62ebe9a114d8c9918c2156d724256fef15abde,,345
StateTrace/.git/objects/69/e0c367f27f1ead8231f6c4437accb122875b0a,,171
StateTrace/.git/objects/6b/2229388350cd3ba64391166288906506d43aba,,1485
StateTrace/.git/objects/6c/8be2dc6b66383a0b7ff4267daf9905bd1ebac9,,26455
StateTrace/.git/objects/6e/536f4013fbe3d744dc685769d162b527be6e56,,2793
StateTrace/.git/objects/70/71f4a679fe8a9dcf35968961b8b692d31a8dba,,4155
StateTrace/.git/objects/70/7e8d29225b2e72d6dc0aef15e8b647f3719429,,2200
StateTrace/.git/objects/70/8b23529eccda7a30b5b7156ccedda014698719,,2731
StateTrace/.git/objects/72/f40a83d73cc90a1b835671639898c18e8e5394,,2159
StateTrace/.git/objects/73/498caaa5fa91356abf9443e8664d5c4cc3851b,,2554
StateTrace/.git/objects/74/7f5090e9c47b75da96b69ab2335a9ba2420e1e,,191
StateTrace/.git/objects/74/d6c737af973f9edcd26d714e195c087c0bb78b,,689
StateTrace/.git/objects/75/13967fbce1a86742df307125f4d2ce10d63146,,253
StateTrace/.git/objects/75/ec1da728c56e869b13f11422c5f1d925f59e8c,,778
StateTrace/.git/objects/76/b018ed5a437e5e6df66ef26964e1e4aedac6d4,,168
StateTrace/.git/objects/79/9d28535ac8b82cf5fd386aba6776802bded4c6,,2031
StateTrace/.git/objects/7a/990bbbd4189b3ff5e55c5c5d8418e4c609fba8,,1283
StateTrace/.git/objects/7a/d3cb3077a9d27956b69cdfb848311ef850bf00,,3193
StateTrace/.git/objects/7a/ed6752e3d131ddf8d68f6b355a81721f8addb8,,194
StateTrace/.git/objects/7c/4f51efceb1fdc7aa368a5fefdd87ba1ba47521,,833
StateTrace/.git/objects/7c/b8b9f1fa7b9f642ea6bf3d2fc303a149da5fc3,,1931
StateTrace/.git/objects/7c/c88589bdb6c81db4501976e06e7bb76f493852,,4860
StateTrace/.git/objects/7c/d35d70b933a08437b41aae86c6cfc85dc828d3,,166
StateTrace/.git/objects/7d/4b79c73dc56a9abeb4b059d124b39e68c5d3ee,,3069
StateTrace/.git/objects/7d/7874d3645bb2e5c8f1f1761710ee116be514ab,,408
StateTrace/.git/objects/7d/ea07f42949d153a5ed2b08d8050a90c458ca93,,232
StateTrace/.git/objects/7e/4b18cca727b638fd49bd4772b3bada248625a3,,289
StateTrace/.git/objects/7e/75785ec3df83b87e5d7d525046d1edf284ee5e,,87
StateTrace/.git/objects/85/c2c1758f64734ff3ee06dbe98b0211bbb9eea4,,1961
StateTrace/.git/objects/86/91317548c2c2165b53f04c63e38a40886cf247,,1740
StateTrace/.git/objects/86/f2930451656a6cd3077586c4e479232d37c2f6,,754
StateTrace/.git/objects/89/560dcb27998518dbb653237add1468cae2e679,,5846
StateTrace/.git/objects/8a/208c907dbab84a1ae0ee4779c069a53d39c278,,5868
StateTrace/.git/objects/8b/1b97f16c45f7077787f44b29b46f20a5439534,,14994
StateTrace/.git/objects/8c/29f6161f6b1417241a534f33e6e79725b7d192,,185
StateTrace/.git/objects/8c/9a358ab0b6b500921880048fd7625a5c002ef6,,243
StateTrace/.git/objects/8d/57a4ed3c0a7d3934463b548442b1244f64112e,,206
StateTrace/.git/objects/8e/3eb81ba0a76f66856bbfffe470fa246302e4c5,,168
StateTrace/.git/objects/8f/961d104353e94f8dcd57f8136b9bec276239f0,,2402
StateTrace/.git/objects/91/26d9f8c88596d8b995c78860ccc7b0c1348255,,2140
StateTrace/.git/objects/91/f0f2e70643bfe823f434de49334d51a92043a4,,141
StateTrace/.git/objects/92/199f574a152f9309bcd8af2d4b32a8fec72cd9,,278
StateTrace/.git/objects/92/a0f56e058f9826ea69f690b7de1fa75827c0a0,,279
StateTrace/.git/objects/94/322f4f3d324246710c2d7ca37b06b0e72c3d79,,2901
StateTrace/.git/objects/96/16903bf5f5b3d728cfbdec10a88484026a83d4,,249
StateTrace/.git/objects/96/5ae8b4657e61ea10a966ecd2472e910e53dc31,,273
StateTrace/.git/objects/97/00e84e7607149c9579661d048a229a76586a3c,,5108
StateTrace/.git/objects/97/3fea36446da106cb5579a67fba5ae3b7ec9744,,192
StateTrace/.git/objects/97/69b45df8849ef89eaf91c84bcc2a642f8e64ca,,1042
StateTrace/.git/objects/97/d202770931a4f8446aa3b1fd3726ab80540282,,163
StateTrace/.git/objects/99/cf1433bf9f5137d7498dc9b966bd8e4e5970f1,,9140
StateTrace/.git/objects/9a/8a4a5cdf77f1976cfe8150c9506cac91bdd0a1,,2404
StateTrace/.git/objects/9b/de74a3d516d52cdb4d07907fd94ec95ecea92a,,4392
StateTrace/.git/objects/9b/e3c68d9abb88e06f27ec485558e5521452fc8b,,205
StateTrace/.git/objects/9b/e7b33d6d3081d3e74f904eb7e73abb95aa2edf,,234
StateTrace/.git/objects/9c/2748b0f66a70462fda981c4a30f0cd9b3c719b,,741
StateTrace/.git/objects/9c/be8557e42b5c09095d67adbd54f985c95213ba,,3003
StateTrace/.git/objects/9e/30b3504f12f1e9dde1f96892826469f2331ec2,,181
StateTrace/.git/objects/a1/8899868c04ef42c3ad0f7f9db051ddc25ec965,,2790
StateTrace/.git/objects/a1/a2c5fd8e3eb67bf14704a04f203f830f44f4f9,,1014
StateTrace/.git/objects/a4/7975d4d5e4972d2e9f47fa5dd24b2e69f6338b,,188
StateTrace/.git/objects/a5/82b27eed1f7684513bfca94be5e8b6f3c564e8,,192
StateTrace/.git/objects/a7/baff846dd6911f78957b060f1c54e955383949,,212
StateTrace/.git/objects/a9/2f75a58eca90b1dcd7e4f613ba022c905912cc,,174
StateTrace/.git/objects/ab/af77b8f05ac7a3f400e34c98b6c4f3f048c5e7,,2883
StateTrace/.git/objects/ac/2f55bf83235b7578631c4c8483ac13cb46c9af,,257
StateTrace/.git/objects/ad/883d77eee4ac6753f393070aa332ed99e2b5e1,,1933
StateTrace/.git/objects/ad/9045cf2f7b4b3f963cc1bea5c3792afcb782f5,,170
StateTrace/.git/objects/ad/c2de3f68df9a0353c6b8e08c882a27abb84c4c,,375
StateTrace/.git/objects/ad/d78c960406fa35860a5bf5a6e15431c2b08ae1,,279
StateTrace/.git/objects/b0/c6b9f8429afc153ed6e27693e90869649a42bd,,66
StateTrace/.git/objects/b0/e3040938908d0bf5717c6d4f58d5db44059ea0,,171
StateTrace/.git/objects/b3/7ce69c6e2ccfb5b26a7f0c87e52814885cb1a6,,87
StateTrace/.git/objects/b3/7dd3ef29ad41ee6445cb139c380896d74b8a52,,1214
StateTrace/.git/objects/b3/b2c771c7785180762e90ac01e3329daa27593b,,957
StateTrace/.git/objects/b3/d183fc6173adcb1eaad3ac3f07237747aa7bc2,,5469
StateTrace/.git/objects/b5/4b06dc2c512c63103ee0ca1058c7c36ffce785,,245
StateTrace/.git/objects/b6/591bd9437d4ef46cffb9bd1e14ca258b442b4b,,397
StateTrace/.git/objects/b7/11cb88116e0e4cec306243925ff27b8e9ebf7a,,212
StateTrace/.git/objects/b8/8efc703315eaa162bf431e5463d4ed16a0602b,,2798
StateTrace/.git/objects/b8/9e16d174207c1678fa65eb3d646ad82d46830c,,3171
StateTrace/.git/objects/b9/267c20769d4c810f83fd025d2564dacf162d05,,499
StateTrace/.git/objects/b9/2df9a85c9923506a891bd57819d5d686f7492a,,87
StateTrace/.git/objects/ba/2988a1b9e22a044e30b3ba8eaebe6618a8ba3e,,63
StateTrace/.git/objects/ba/2b31f1e858dfe672327cda4685090e1167de70,,2957
StateTrace/.git/objects/ba/9430c8a4d78ce5fb1a699f9e5d48cdafa375df,,6038
StateTrace/.git/objects/ba/f89eec329a0041c22fa307dd448afa6042e916,,67
StateTrace/.git/objects/bc/2e65d491bfd36cc548d52aefe8362fc967d000,,3647
StateTrace/.git/objects/bf/30d53c11396ad4595ace36d297a32c0a0557e8,,196
StateTrace/.git/objects/bf/a9f2f2e9936044da64c49d1b6a6e362d52f773,,245
StateTrace/.git/objects/c0/04945de7973227231f7a41f50b3fbf8042761c,,3053
StateTrace/.git/objects/c2/1e066cb66525b04a76d49e84080b9ab5b7264c,,197
StateTrace/.git/objects/c3/8c71498d652e904725ce206c81d5c032d8aad6,,4566
StateTrace/.git/objects/c4/082e6b813fda2856f1a01b88339f248d3c2a58,,194
StateTrace/.git/objects/c4/9604e6272601009f5d0ffc331a5bed7e4eab1c,,2207
StateTrace/.git/objects/c5/7b351878d10e5421b3d35e2fd9fe6fa362a591,,176
StateTrace/.git/objects/c6/b2f5a992d57414fa3509839653cb96578a6f78,,4787
StateTrace/.git/objects/c6/d2356fe01c7223a45a4d394c2a10780d80e551,,2071
StateTrace/.git/objects/c7/3d7cb2c36701b6c94fb936e7438603088cdb03,,213
StateTrace/.git/objects/c7/936e51fad9c6d0e13bb489e5177cb7c65fae72,,17021
StateTrace/.git/objects/c7/ec14d04c0249687adcde2035c2d6f06bc310ef,,1850
StateTrace/.git/objects/c9/6070fcc123432623fd6e7b84fb20d773c97727,,162
StateTrace/.git/objects/c9/d2c52ff54dff7fffb78e74926638f6493ec67c,,10686
StateTrace/.git/objects/ca/81d0f9c00e380e0ebea5bd8f6c32a6650dce64,,389
StateTrace/.git/objects/cc/b47d9ba40e60fdf12a1beb1ac4940ebfdefa0b,,4861
StateTrace/.git/objects/cd/c1c41ab62e19444116b29fdd51fdd5aca25270,,399
StateTrace/.git/objects/ce/41d76adb481250b4a62cdb58a25e8866b9d407,,247
StateTrace/.git/objects/ce/ab7c96c0a5cfa8f1dd900c593d6066ca66b3e2,,827
StateTrace/.git/objects/cf/c7ad105812b77ceff677dd029eb7ad907cfd0c,,2971
StateTrace/.git/objects/cf/e6e0295316866c4d93e17e91d080490c0e913c,,212
StateTrace/.git/objects/d0/2213eaf65cdbce766a649d910f2cdf068a554f,,873
StateTrace/.git/objects/d1/4bc030fb387449b99d22798066b398006cb70c,,2075
StateTrace/.git/objects/d2/c6f79138fa68e220123886c4b460074364dbef,,252
StateTrace/.git/objects/d5/44990e6f44a43630f40e222caa5247f0748132,,1851
StateTrace/.git/objects/d5/ec68d19e5e04ed6314ae3c324ca03499553d8a,,2827
StateTrace/.git/objects/d8/b43f29c0bbd66099399ffb52dcacfe873838fd,,178
StateTrace/.git/objects/da/675adb37b2c933cbb8efd460f9c6809371e1e0,,5254
StateTrace/.git/objects/de/aa276e7de41b677b45556a766d7d64b4ab5279,,2886
StateTrace/.git/objects/e1/33097ceba5e6f196e72416af9efa1a2dc7c824,,308
StateTrace/.git/objects/e1/6a3f0e936c79ae066fef6b135f0a2951bec8f6,,399
StateTrace/.git/objects/e2/89a85c607277113aa034e23735d7469db3f827,,128
StateTrace/.git/objects/e2/a2645559ec5e6364b0e8beb596b87cfab733f8,,3121
StateTrace/.git/objects/e2/ee350d6bc000502c821cbb4991cbd99bafb289,,1974
StateTrace/.git/objects/e6/9de29bb2d1d6434b8b29ae775ad8c2e48c5391,,15
StateTrace/.git/objects/e7/faea19c6d451ae453ad33f1011ba0f82ba41da,,5110
StateTrace/.git/objects/e8/3b25f636fa388ddbc5ef37a99e0a81a85d6fab,,175
StateTrace/.git/objects/e8/9005c57d94869cf137d380641e9efb3432a68b,,6037
StateTrace/.git/objects/ea/ca6840721375dc0e3f1df4a89b9bf37a6b479b,,2207
StateTrace/.git/objects/eb/03625abed5d38a610b75bb8c64926bc2bc09f7,,128
StateTrace/.git/objects/eb/6a338852341a9cfb0d5434c5fef40ae350bd4d,,992
StateTrace/.git/objects/eb/987dff92238c92c2e92b9364d3b21322690414,,257
StateTrace/.git/objects/ec/1bbaeb6ecaeaba71c455540c4f4a1c54babcc4,,2195
StateTrace/.git/objects/ef/78f15801c5f0f4b76fa4d2ca283e1e9b30bc7d,,2913
StateTrace/.git/objects/ef/ba38ec71b78a27e5d952fd88638efb3061abcd,,175
StateTrace/.git/objects/f1/177889234785c56a3cffb98a6d63970f8813ed,,21
StateTrace/.git/objects/f1/769b73a027a6ed77f21f98fa9d282ce39fe5c6,,1382
StateTrace/.git/objects/f2/93f259e4ef41f40c5830b68736425c8886ee55,,64
StateTrace/.git/objects/f2/f66256ae87011d7d82e86c6c895db820cb2124,,2364
StateTrace/.git/objects/f3/bd887b4ec13774d3928e61fbbf10dca410d2a5,,410
StateTrace/.git/objects/f3/f21ad5f33404b600ff043008cda0dd45fec3d6,,12562
StateTrace/.git/objects/f5/58a2d69b1e0eab27eb858cac6352590d72e52f,,677
StateTrace/.git/objects/f5/5bb1ea42493ac7a52801ca9bec4c036ab2e02e,,1392
StateTrace/.git/objects/f5/75e5b13365b8ae54f1d3d163ecadf12703beb3,,192
StateTrace/.git/objects/f5/f7b6c2d2d0ae234f757e8da9ecacb22e452b91,,194
StateTrace/.git/objects/f6/4bc2fa97bf4401f76c37ea8299d9e850363f30,,9135
StateTrace/.git/objects/f6/910c5a5e9218ee2e7e91ab39e6feb9d7f6d740,,1436
StateTrace/.git/objects/f7/61187971be901de8c4093040e6b1124b33b6dc,,278
StateTrace/.git/objects/f7/e8bac088728666fb32b9ab6850663ed5abf83d,,879
StateTrace/.git/objects/fb/dc3a66ad095ad363b0b96551179727d1860fa6,,3209
StateTrace/.git/objects/fd/c71de0d6e01a7f547141eaf414fbfec5c17a83,,809
StateTrace/.git/objects/fe/c24380ac23d1723611fbff7d603f65ae87dfd2,,212
StateTrace/.git/objects/fe/e47d836347291c1bfb7a6fccda0e93103b93e6,,251
StateTrace/.git/refs/heads/main,,41
StateTrace/.git/refs/remotes/origin/main,,41
StateTrace/.gitignore,,93
StateTrace/Data/StateTrace.accdb,.accdb,1609728
StateTrace/FurtherFixes.docx,.docx,24655
StateTrace/Logs/NoArista.log,.log,20808
StateTrace/Logs/mock_brocade (1).log,.log,12485
StateTrace/Logs/mock_brocade_8095jufi.log,.log,22049
StateTrace/Logs/mock_cisco_authentic.log,.log,23330
StateTrace/Logs/putty.mog,.mog,73752
StateTrace/Main/MainWindow.ps1,.ps1,13959
StateTrace/Main/MainWindow.xaml,.xaml,5286
StateTrace/Main/NetworkReader.ps1,.ps1,11676
StateTrace/Modules/AlertsViewModule.psm1,.psm1,3111
StateTrace/Modules/AristaModule.psm1,.psm1,7365
StateTrace/Modules/BrocadeModule.psm1,.psm1,18702
StateTrace/Modules/CiscoModule.psm1,.psm1,12047
StateTrace/Modules/CompareViewModule.psm1,.psm1,21857
StateTrace/Modules/DatabaseModule.psm1,.psm1,17753
StateTrace/Modules/DeviceFunctionsModule.psm1,.psm1,23476
StateTrace/Modules/GuiModule.psm1,.psm1,41014
StateTrace/Modules/InterfaceModule.psm1,.psm1,34383
StateTrace/Modules/ParserWorker.psm1,.psm1,41105
StateTrace/Modules/SearchInterfacesViewModule.psm1,.psm1,5966
StateTrace/Modules/SpanViewModule.psm1,.psm1,4706
StateTrace/Modules/SummaryViewModule.psm1,.psm1,1815
StateTrace/Modules/TemplatesViewModule.psm1,.psm1,8104
StateTrace/Templates/Brocade.json,.json,1637
StateTrace/Templates/Cisco.json,.json,3288
StateTrace/Views/AlertsView.xaml,.xaml,2640
StateTrace/Views/CompareView.xaml,.xaml,8623
StateTrace/Views/HelpWindow.xaml,.xaml,7273
StateTrace/Views/InterfacesView.xaml,.xaml,13699
StateTrace/Views/SearchInterfacesView.xaml,.xaml,5080
StateTrace/Views/SpanView.xaml,.xaml,3127
StateTrace/Views/SummaryView.xaml,.xaml,2663
StateTrace/Views/TemplatesView.xaml,.xaml,3105
